state,district,candidate,party,votes,prop,winner,year
Alabama,1,"Byrne, Bradley",R,103758,0.6815691632618206,1,2014
Alabama,1,"LeFlore, Burton R.",D,48278,0.3171302074438036,0,2014
Alabama,2,"Roby, Martha",R,113103,0.6734245498713918,1,2014
Alabama,2,"Wright, Erick",D,54692,0.3256406592359722,0,2014
Alabama,3,"Rogers, Mike",R,103558,0.6612054654577959,1,2014
Alabama,3,"Smith, Jesse T.",D,52816,0.33722385391393184,0,2014
Alabama,4,"Aderholt, Robert",R,132831,0.9857441819045357,1,2014
Alabama,5,"Brooks, Mo",R,115338,0.7442409694529405,1,2014
Alabama,5,"Bray, Mark",IND,39005,0.2516873798185502,0,2014
Alabama,6,"Palmer, Gary",R,135945,0.7618142998840005,1,2014
Alabama,6,"Lester, Mark #",D,42291,0.23699208177126238,0,2014
Alabama,7,"Sewell, Terri A.",D,133687,0.9837232062046078,1,2014
Alaska,0,"Young, Don",R,142572,0.5096571471468251,1,2014
Alaska,0,"Dunbar, Forrest",D,114602,0.4096718035611512,0,2014
Alaska,0,"McDermott, Jim C.",LIB,21290,0.07610611243972103,0,2014
Arizona,1,"Kirkpatrick, Ann",D,97391,0.5261136380824789,1,2014
Arizona,1,"Tobin, Andy",R,87723,0.4738863619175211,0,2014
Arizona,2,"McSally, Martha",R,109714,0.5001435962892895,1,2014
Arizona,2,"Barber, Ron",D,109547,0.49938230802543704,0,2014
Arizona,2,"Ramirez, Sampson U.",W,56,2.552822920702938e-4,0,2014
Arizona,2,"Dudikoff, Sydney",W,48,2.1881339320310898e-4,0,2014
Arizona,3,"Grijalva, Raul",D,58192,0.5572451832841766,1,2014
Arizona,3,"Saucedo Mercer, Gabby",R,46185,0.44226644195043474,0,2014
Arizona,3,"Sánchez, F.",W,43,4.1176695905312754e-4,0,2014
Arizona,3,"Thompson, Lee",W,8,7.660780633546558e-5,0,2014
Arizona,4,"Gosar, Paul",R,122560,0.699627238424697,1,2014
Arizona,4,"Weisser, Mike",D,45179,0.2579019174672763,0,2014
Arizona,4,"Rike, Chris",W(LIB)/LIB,7440,0.042470844108026644,0,2014
Arizona,5,"Salmon, Matt",R,124867,0.6957813031098332,1,2014
Arizona,5,"Woods, James",D,54596,0.3042186968901668,0,2014
Arizona,6,"Schweikert, David",R,129578,0.6486164504244755,1,2014
Arizona,6,"Williamson, W. John",D,70198,0.3513835495755246,0,2014
Arizona,7,"Gallego, Ruben",D,54235,0.7485439037182212,1,2014
Arizona,7,"Cobb, Joe",LIB,10715,0.14788693515885942,0,2014
Arizona,7,"DeWitt, Rebecca",W(AE)/AE,3858,0.053247577773483865,0,2014
Arizona,7,"Peñalosa, José",JP,3496,0.04825130427581638,0,2014
Arizona,7,"Dunn, Gary",W,129,0.0017804400033124466,0,2014
Arizona,7,"Ortega, Gustavo",W,17,2.346316283435007e-4,0,2014
Arizona,7,"Esquivel, Samuel",W,4,5.5207441963176636e-5,0,2014
Arizona,8,"Franks, Trent",R,128710,0.7581165771369334,1,2014
Arizona,8,"Dolgos, Stephen",W(AE)/AE,41066,0.24188342286306663,0,2014
Arizona,9,"Sinema, Kyrsten",D,88609,0.5467598820204613,1,2014
Arizona,9,"Rogers, Wendy",R,67841,0.4186113956387062,0,2014
Arizona,9,"Gammill, Powell",W(LIB)/LIB,5612,0.03462872234083252,0,2014
Arkansas,1,"Crawford, Rick",R,124139,0.632536075330181,1,2014
Arkansas,1,"McPherson, Jackie",D,63555,0.32383723300179357,0,2014
