name,state,item,item_num,ans_ind,ans_text,states_lived
anon1,new york,"Do you pronounce ""cot"" and ""caught"" the same?",28,a,different,new york
anon1,new york,Do you use the word cruller?,86,a,yes,new york
anon1,new york,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,new york
anon1,new york,What do you call paper that has already been used for something or is otherwise imperfect?,78,b,scrap paper,new york
anon1,new york,What do you call the act of covering a house or area in front of a house with toilet paper?,106,a,tp'ing,new york
anon1,new york,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,new york
anon1,new york,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,66,a,crawfish,new york
anon1,new york,What do you call the thing from which you might drink water in a school?,103,d,water fountain,new york
anon1,new york,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",73,f,tennis shoes,new york
anon1,new york,What is your generic term for a sweetened carbonated beverage?,105,a,soda,new york
anon1,new york,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,76,a,kitty-corner,new york
anon1,new york,What word(s) do you use to address a group of two or more people?,50,d,you guys,new york
anon1,new york,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",58,b,yard sale,new york
anon1,new york,Which of these terms do you prefer for the small road parallel to the highway?,99,b,service road,new york
anon1,new york,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",51,b,no,new york
anon1,new york,caramel,4,b,"with 3 syllables (""carra-mel"")",new york
anon1,new york,lawyer,14,a,"with [j] as in ""boy"" (""loyer"")",new york
anon1,new york,"the ""c"" in ""grocery""",36,b,"[] as in ""shock""",new york
anon1,new york,"the second vowel in ""pajamas""",20,b,"[] as in ""father""",new york
anon1,new york,"the vowel in the second syllable of ""cauliflower""",5,b,"[] as in ""sit""",new york
anon10,georgia,"Do you pronounce ""cot"" and ""caught"" the same?",28,a,different,georgia
anon10,georgia,Do you use the word cruller?,86,b,"no, but I know what it means",georgia
anon10,georgia,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,56,b,unacceptable,georgia
anon10,georgia,What do you call paper that has already been used for something or is otherwise imperfect?,78,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",georgia
anon10,georgia,What do you call the act of covering a house or area in front of a house with toilet paper?,106,b,rolling,georgia
anon10,georgia,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,65,c,I use lightning bug and firefly interchangeably,georgia
