id,w2_brokeup,w1_age,w1_p_page,w1_attraction,w1_q21a_year,w1_p_edu,w1_p_polparty,w1_same_hs,w1_same_college,w1_partnership_status_cohab,w1_rel_qual,w1_sex_frequency,w1_otherdate_all,w1_same_sex_couple_gender,w1_married,w1_cohab,w1_hh_income,w1_employed,w1_polparty,w1_relig_attend,w1_times_marrid,w1_p_race,w1_how_met,w1_earned_more,w1_p_gender,w1_gender,w1_q24_met_through_family,w1_q24_met_through_friend,w1_q24_met_through_as_nghbrs,w2_nonshelter,w2_shelter_combo_months,w2_myhealth,w2_myhealth_why_1,w2_parthealth,w2_parthealth_why_1,w1_yrsed,w1_p_yrsed
1,1,48,46,1,2013,11,1,1,NA,1,1,3,1,0,1,1,13,1,6,6,3,7,1,3,1,2,0,0,0,NA,0.25,2,NA,2,NA,12,14
2,0,68,71,1,1964,10,3,1,1,1,1,5,1,0,1,1,12,1,3,4,1,7,1,3,1,2,1,1,0,1,0,2,NA,2,NA,13,13
3,0,39,49,1,1999,10,7,2,2,1,1,3,1,0,1,1,15,1,7,4,1,5,1,1,2,1,0,0,0,1,0,2,NA,2,NA,14,13
4,0,54,59,1,1989,13,4,2,NA,1,1,4,1,0,1,1,16,1,2,2,1,3,1,3,2,1,0,0,0,1,0,2,NA,2,NA,12,17
5,0,48,34,1,2011,11,2,2,2,4,NA,NA,1,0,0,NA,14,1,3,5,3,0,1,1,2,1,0,1,0,NA,0.75,2,NA,NA,NA,13,14
6,0,59,52,1,1993,12,2,2,2,1,1,5,1,0,1,1,15,1,2,4,2,0,1,1,2,1,0,0,0,NA,0.75,2,NA,2,NA,13,16
7,0,72,75,1,1981,10,7,2,2,4,NA,NA,1,0,0,NA,4,6,7,6,2,0,1,3,1,2,0,0,0,2,0,2,NA,NA,NA,13,13
8,0,55,55,1,1983,10,1,2,NA,1,2,3,1,0,1,1,12,1,1,1,1,0,1,3,1,2,0,1,0,1,0,2,NA,2,NA,12,13
9,0,73,79,1,1992,9,6,2,NA,1,1,5,1,0,1,1,11,5,3,6,3,0,1,3,1,2,0,0,0,NA,3,2,NA,2,NA,12,12
10,0,46,46,1,1986,10,2,1,1,1,2,5,1,0,1,1,14,1,2,6,2,0,1,4,2,1,0,0,0,1,0,2,NA,2,NA,14,13
11,0,43,37,1,2000,9,4,2,NA,1,3,5,1,0,1,1,8,1,6,6,2,0,1,1,2,1,0,0,0,1,0,2,NA,2,NA,14,12
12,0,57,63,1,2014,9,3,2,NA,3,2,2,1,0,0,2,9,1,7,5,2,2,1,3,1,2,0,1,0,NA,0.75,2,NA,2,NA,13,12
13,0,54,61,1,1985,10,7,1,NA,1,2,5,1,0,1,1,11,4,7,2,1,0,1,3,1,2,0,0,0,NA,6,2,NA,2,NA,12,13
14,0,61,62,1,1988,12,5,2,2,1,2,5,1,0,1,1,15,1,5,2,1,5,1,3,1,2,1,0,0,1,0,2,NA,2,NA,13,16
15,0,79,74,1,1962,10,6,2,2,4,NA,NA,1,0,0,NA,18,1,5,1,1,3,1,1,2,1,1,0,0,2,0,2,NA,NA,NA,14,13
16,0,59,50,1,1989,10,7,2,2,1,2,5,1,0,1,1,15,1,2,5,2,0,1,1,2,1,0,0,0,1,0,2,NA,2,NA,14,13
17,0,64,65,1,1983,10,1,2,NA,4,NA,NA,1,0,0,NA,8,1,7,6,1,2,1,3,1,2,0,0,0,2,0,2,NA,NA,NA,12,13
18,0,59,58,1,1981,12,4,2,NA,1,1,-1,1,0,1,1,13,1,6,6,2,2,1,3,1,2,1,0,0,1,0,2,NA,2,NA,12,16
19,0,81,83,1,1954,10,1,2,2,1,1,5,1,0,1,1,12,5,2,3,1,0,1,3,1,2,0,1,0,NA,5,2,NA,2,NA,13,13
20,0,43,46,1,1992,12,4,2,2,1,2,5,1,0,1,1,17,1,1,2,1,0,1,3,1,2,0,0,0,NA,0.75,1,1,2,NA,16,16
21,0,70,70,1,1970,12,4,2,2,1,1,5,1,0,1,1,10,5,5,2,1,6,1,2,1,2,1,0,0,3,0,2,NA,NA,NA,13,16
22,0,80,77,1,1952,9,1,2,NA,1,1,5,1,0,1,2,16,5,3,3,2,5,1,1,2,1,1,0,0,2,0,2,NA,NA,NA,12,12
23,0,53,51,1,1994,12,3,2,2,1,2,5,1,0,1,1,13,7,6,4,1,0,1,3,1,2,0,0,0,NA,4,2,NA,2,NA,17,16
