state,item_num,item,ans_ind,ans_text,ans_prop
alabama,4,caramel,a,"with 2 syllables (""car-ml"")",0.2075
alabama,4,caramel,b,"with 3 syllables (""carra-mel"")",0.6556000000000001
alabama,4,caramel,c,I use both interchangeably,0.1162
alabama,4,caramel,e,other,0.0207
alabama,5,"the vowel in the second syllable of ""cauliflower""",a,"[i:] as in ""see""",0.2614
alabama,5,"the vowel in the second syllable of ""cauliflower""",b,"[] as in ""sit""",0.6473
alabama,5,"the vowel in the second syllable of ""cauliflower""",c,other,0.0913
alabama,14,lawyer,a,"with [j] as in ""boy"" (""loyer"")",0.22820000000000001
alabama,14,lawyer,b,"with [] as in ""saw"" (""law-yer"")",0.6929000000000001
alabama,14,lawyer,c,I use both interchangeably,0.0705
alabama,14,lawyer,d,other,0.0083
alabama,20,"the second vowel in ""pajamas""",a,"[] as in ""jam""",0.1568
alabama,20,"the second vowel in ""pajamas""",b,"[] as in ""father""",0.8262999999999999
alabama,20,"the second vowel in ""pajamas""",c,other,0.0169
alabama,28,"Do you pronounce ""cot"" and ""caught"" the same?",a,different,0.7393000000000001
alabama,28,"Do you pronounce ""cot"" and ""caught"" the same?",b,same,0.2607
alabama,36,"the ""c"" in ""grocery""",a,"[s] as in ""sock""",0.5021
alabama,36,"the ""c"" in ""grocery""",b,"[] as in ""shock""",0.485
alabama,36,"the ""c"" in ""grocery""",c,other,0.0129
alabama,50,What word(s) do you use to address a group of two or more people?,a,you all,0.0877
alabama,50,What word(s) do you use to address a group of two or more people?,c,you lot,0.0044
alabama,50,What word(s) do you use to address a group of two or more people?,d,you guys,0.10529999999999999
alabama,50,What word(s) do you use to address a group of two or more people?,g,you,0.057
alabama,50,What word(s) do you use to address a group of two or more people?,h,other,0.0175
alabama,50,What word(s) do you use to address a group of two or more people?,i,y'all,0.7281
alabama,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",a,yes,0.1586
alabama,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",b,no,0.8326
alabama,51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",c,other,0.0088
alabama,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,a,acceptable,0.2052
alabama,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,b,unacceptable,0.7467
alabama,56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,c,not sure,0.048
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",a,tag sale,0.0044
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",l,patio sale,0.0044
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",m,other,0.0393
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",b,yard sale,0.6332
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",c,garage sale,0.3144
alabama,58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",d,rummage sale,0.0044
alabama,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,a,lightning bug,0.6228
alabama,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,b,firefly,0.0263
alabama,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,c,I use lightning bug and firefly interchangeably,0.33770000000000006
alabama,65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,f,other,0.0132
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,a,crawfish,0.5459
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,b,crayfish,0.0131
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,c,craw,0.0087
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,e,crawdad,0.35369999999999996
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,f,mudbug,0.0044
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,g,I have no word for this critter,0.0218
alabama,66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,h,other,0.0524
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",a,sneakers,0.1535
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",j,I have no general word for this,0.0044
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",k,other,0.0263
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",b,shoes,0.0395
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",c,gymshoes,0.0219
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",f,tennis shoes,0.7368000000000001
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",g,running shoes,0.0088
alabama,73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",i,trainers,0.0088
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,a,kitty-corner,0.179
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,c,catercorner,0.030600000000000002
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,d,catty-corner,0.6157
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,e,kitty cross,0.0044
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,f,kitty wampus,0.0131
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,g,"I can only use ""diagonal"" for this",0.0917
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,h,I have no term for this,0.0218
alabama,76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,i,other,0.0437
alabama,78,What do you call paper that has already been used for something or is otherwise imperfect?,a,scratch paper,0.39740000000000003
alabama,78,What do you call paper that has already been used for something or is otherwise imperfect?,b,scrap paper,0.1834
alabama,78,What do you call paper that has already been used for something or is otherwise imperfect?,c,"scratch paper is still usable (for example, the paper you bring to do extra work on a test); scrap paper is paper that isn't needed anymore and can be thrown away.",0.4017
alabama,78,What do you call paper that has already been used for something or is otherwise imperfect?,d,other,0.0175
alabama,86,Do you use the word cruller?,a,yes,0.2489
alabama,86,Do you use the word cruller?,b,"no, but I know what it means",0.45409999999999995
alabama,86,Do you use the word cruller?,c,I have no idea what this means,0.2969
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,a,frontage road,0.1009
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,b,service road,0.5132
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,c,access road,0.2193
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,d,feeder road,0.0088
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,e,gateway,0.0044
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,f,we have them but I have no word for them,0.0789
alabama,99,Which of these terms do you prefer for the small road parallel to the highway?,g,I've never heard of this concept,0.0351
